Product Link,Product Name,Visual Value
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/0889069932886";"0889069932886"),Emmaline Cotton Floral Cropped Sweatshirt,BoatNeck
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/0889316615234";"0889316615234"),Stretch-Cotton Cropped Hoodie,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/0889316618297";"0889316618297"),Stretch-Cotton Crewneck Sweatshirt,BoatNeck
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3607171833450";"3607171833450"),Mercier Embroidered Cotton Hoodie,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3607171937196";"3607171937196"),Cropped Double S Sweatshirt,Crewneck
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3607624463432";"3607624463432"),Georgy Manifesto-Print Hoodie,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3612230352926";"3612230352926"),Poppy Graphic Crewneck Sweatshirt,LongSleeves
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3612230352933";"3612230352933"),Poppy Graphic Crewneck Sweatshirt,LongSleeves
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3612230352940";"3612230352940"),Poppy Graphic Crewneck Sweatshirt,LongSleeves
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3612230352940";"3612230352940"),Poppy Graphic Crewneck Sweatshirt,Roundneck
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3612230353183";"3612230353183"),Crest Logo Classic Hoodie,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3612230353190";"3612230353190"),Crest Logo Classic Hoodie,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3615092527877";"3615092527877"),Logo Boxy Lace-Up Hoodie,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3615092560768";"3615092560768"),Drawstring Logo Hoodie,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3615092595944";"3615092595944"),Université Sweatshirt,Crewneck
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3615092602383";"3615092602383"),Cotton Hoodie,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3615092644789";"3615092644789"),Hoodie,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3615092731410";"3615092731410"),Hoodie,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3615092731441";"3615092731441"),Saint Laurent Hoodie,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3615092770266";"3615092770266"),Hoodie,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3615092834661";"3615092834661"),Fleece Hoodie,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3615884225622";"3615884225622"),Flocked Logo Cropped Hoodie,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3615884225639";"3615884225639"),Flocked Logo Cropped Hoodie,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3615884225646";"3615884225646"),Flocked Logo Cropped Hoodie,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3617010100384";"3617010100384"),Cotton Logo Hoodie,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3617010100858";"3617010100858"),Oswald Hoodie In Felpa,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3617010100988";"3617010100988"),Oversized Hoodie In Pearl Embroidered Jersey,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3617010100988";"3617010100988"),Oversized Hoodie In Pearl Embroidered Jersey,ThreeQuarterSleeves
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3617010102036";"3617010102036"),Cropped Hoodie With Embroidered Patches,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3617010102036";"3617010102036"),Cropped Hoodie With Embroidered Patches,RegularLength
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3661601847875";"3661601847875"),Totola Cotton Hoodie,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3664205611309";"3664205611309"),Hoodie,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3664205759865";"3664205759865"),Hoodie Sweater Logo,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3665743097884";"3665743097884"),Political Campaign Hoodie Large Fit,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3665743097884";"3665743097884"),Political Campaign Hoodie Large Fit,ThreeQuarterSleeves
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3665743197850";"3665743197850"),Political Campaign Hoodie Large Fit,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3665743471028";"3665743471028"),Political Campaign Medium Fit Hoodie,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3665743565758";"3665743565758"),Political Campaign Medium Fit Hoodie,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3665743643975";"3665743643975"),Logo Hoodie Medium Fit,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3665743656418";"3665743656418"),Cities Paris Hoodie Wide Fit,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3665743657613";"3665743657613"),Cities Paris Hoodie Wide Fit,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3665743662884";"3665743662884"),Maison Hoodie Wide Fit,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3665743743927";"3665743743927"),Cities Paris Hoodie Wide Fit,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3665743744795";"3665743744795"),Political Campaign Hoodie Large Fit,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3665743771012";"3665743771012"),Political Campaign Hoodie Large Fit,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3665743888802";"3665743888802"),Fashion Institute Hoodie,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3665743912538";"3665743912538"),BB Paris Icon Hoodie Medium Fit,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3665743912613";"3665743912613"),BB Paris Icon Hoodie Medium Fit,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3665743929680";"3665743929680"),Political Campaign Hoodie Large Fit,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3665743929697";"3665743929697"),Turn Hoodie Large Fit,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/3665743960263";"3665743960263"),Hand Drawn 3B Bal Hoodie,Sweatshirt
