Product Link,Product Name,Visual Value
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0190738910105";"0190738910105"),Beacon Dickey Jacket,Blazer
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0190738914240";"0190738914240"),Elvana Dickey Blazer,Coat
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0190738914240";"0190738914240"),Elvana Dickey Blazer,Trench
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0191116373529";"0191116373529"),Faux Pearl-Detailed Fitted Long Coat,Cropped
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0191116384440";"0191116384440"),Floral Jacquard Cropped Jacket,LongSleeves
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0191116384440";"0191116384440"),Floral Jacquard Cropped Jacket,Blazer
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0191116384563";"0191116384563"),Floral Jacquard Cropped Jacket,ShortSleeves
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0191116384563";"0191116384563"),Floral Jacquard Cropped Jacket,Blazer
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0191293370731";"0191293370731"),Laudine Single-Breasted Blazer,ThreeQuarterSleeves
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0191293380341";"0191293380341"),Milani Double-Breasted Blazer,ThreeQuarterSleeves
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0191846504545";"0191846504545"),Tiger Varsity Jacket,Bomber
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0191846537222";"0191846537222"),Wool-Blend Varsity Jacket,Bomber
