Product Link,Product Name,Visual Value
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417665913";"0190417665913"),Python Print Long-Sleeve Silk Shirtdress,Turtleneck
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417698232";"0190417698232"),Lace Short-Sleeve Minidress,Roundneck
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417698515";"0190417698515"),Lace Sleeveless Midi-Dress,ALine
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417698515";"0190417698515"),Lace Sleeveless Midi-Dress,Roundneck
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417700362";"0190417700362"),Wool-Blend Slip Sheath Dress,Pencil
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417700775";"0190417700775"),Sequined One-Shoulder Minidress,Pencil
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417700775";"0190417700775"),Sequined One-Shoulder Minidress,Cocktail
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417715465";"0190417715465"),Viscose Crepe Tank Midi Dress,Roundneck
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417716356";"0190417716356"),Zebra Knit Sheath Midi-Dress,Roundneck
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417716356";"0190417716356"),Zebra Knit Sheath Midi-Dress,Maxi
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417718329";"0190417718329"),Brushstroke Zebra-Print Shift Dress,Pencil
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417719746";"0190417719746"),Zebra Print Caftan Dress,Sleeveless
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417719746";"0190417719746"),Zebra Print Caftan Dress,Mini
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417720384";"0190417720384"),Fringe-Trim Halter Maxi Dress,Cocktail
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417720384";"0190417720384"),Fringe-Trim Halter Maxi Dress,Mini
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417720476";"0190417720476"),Wool Crepe Shift Dress,Roundneck
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417721053";"0190417721053"),Dance Sequined Fit-&-Flare Dress,ALine
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417721220";"0190417721220"),Embellished Cascade Midi-Dress,Halter
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417721220";"0190417721220"),Embellished Cascade Midi-Dress,Maxi
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417732356";"0190417732356"),Strapless Ruched Midi-Dress,Pencil
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417732356";"0190417732356"),Strapless Ruched Midi-Dress,Cocktail
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417732448";"0190417732448"),Stretch Ruched Midi-Dress,Pencil
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417732448";"0190417732448"),Stretch Ruched Midi-Dress,Cocktail
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417733391";"0190417733391"),Silk Snakeskin Cape-Sleeve Minidress,Crewneck
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417733674";"0190417733674"),Snakeskin Racerback Sheath Midi-Dress,BoatNeck
